,Date,windcode,Open,High,Low,Close,Volume
7390764,20170913,000001.SZ,,1226.803448,1205.54169,1215.109481,668237.42
7394123,20170914,000001.SZ,1215.109481,1232.118888,1194.910811,,883087.77
7397482,20170915,000001.SZ,1200.22625,1203.415514,1185.34302,1200.22625,646094.81
7400845,20170918,000001.SZ,1195.973899,1203.415514,1190.658459,1195.973899,607612.96
7404209,20170919,000001.SZ,1195.973899,1205.54169,1177.901404,1183.216844,764212.62
7390765,20170913,000002.SZ,3473.691392,3576.666433,3431.128374,,467463.77
7394124,20170914,000002.SZ,3539.595418,3852.639543,3508.016405,3783.989516,1150696.14
7397483,20170915,000002.SZ,3775.751513,4149.207662,3771.632511,4022.891612,1550495.61
7400846,20170918,000002.SZ,,4083.303636,3843.028539,3849.893542,1063043.07
7404210,20170919,000002.SZ,3881.472555,4132.731656,3858.131546,3950.122582,1196308.5
